epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,16167.9,0.29228,0.20054,0.85978,0.99755,0.99879,0.99484,0.99099,0.15175,0.10843,0.74919,0.004555,0.004555,0.004555
57,16457,0.29223,0.19886,0.86457,0.99297,0.99717,0.99413,0.9893,0.16269,0.11764,0.75421,0.004456,0.004456,0.004456
58,16745.8,0.29107,0.19682,0.86183,0.99685,0.99796,0.99456,0.99017,0.15443,0.10863,0.75136,0.004357,0.004357,0.004357
59,17034.7,0.29148,0.19727,0.86203,0.99659,0.99805,0.99458,0.98972,0.16041,0.11106,0.75099,0.004258,0.004258,0.004258
60,17323.6,0.28626,0.1959,0.85854,0.99331,0.99749,0.99438,0.98903,0.16257,0.11385,0.75255,0.004159,0.004159,0.004159
61,17612.3,0.28519,0.19597,0.85944,0.99554,0.99786,0.99457,0.99006,0.15325,0.11043,0.75226,0.00406,0.00406,0.00406
62,17901.3,0.28444,0.19647,0.85723,0.99495,0.99758,0.99467,0.99014,0.15343,0.10912,0.7522,0.003961,0.003961,0.003961
63,18190.5,0.27703,0.19177,0.85547,0.99677,0.99861,0.99471,0.99085,0.14587,0.10368,0.75057,0.003862,0.003862,0.003862
64,18479.5,0.27827,0.19365,0.85685,0.99677,0.99851,0.99476,0.99056,0.15439,0.10619,0.75076,0.003763,0.003763,0.003763
65,18768.5,0.27393,0.18943,0.85712,0.9969,0.99823,0.99473,0.99108,0.14579,0.10417,0.74919,0.003664,0.003664,0.003664
66,19057.7,0.27306,0.18947,0.85573,0.99731,0.99848,0.99466,0.99086,0.14666,0.10158,0.74999,0.003565,0.003565,0.003565
67,19346.9,0.27089,0.18589,0.8537,0.99766,0.99898,0.99469,0.99105,0.14643,0.10142,0.74812,0.003466,0.003466,0.003466
68,19636,0.26953,0.18625,0.85687,0.99758,0.99898,0.99466,0.99007,0.15587,0.10395,0.75015,0.003367,0.003367,0.003367
69,19925.2,0.26759,0.18323,0.85482,0.99717,0.99842,0.99464,0.99071,0.1494,0.10264,0.75112,0.003268,0.003268,0.003268
70,20214.4,0.26881,0.18471,0.85545,0.99701,0.99926,0.99469,0.99094,0.14813,0.10205,0.75144,0.003169,0.003169,0.003169
71,20503.4,0.26445,0.18205,0.85235,0.99685,0.99796,0.99472,0.9903,0.1558,0.10428,0.75049,0.00307,0.00307,0.00307
72,20792.6,0.26525,0.18157,0.85293,0.99748,0.99861,0.99468,0.99069,0.14941,0.1008,0.7491,0.002971,0.002971,0.002971
73,21081.6,0.26402,0.18293,0.8526,0.99777,0.99786,0.99474,0.99099,0.14588,0.09924,0.74737,0.002872,0.002872,0.002872
74,21370.5,0.26002,0.17857,0.85017,0.99629,0.99889,0.99472,0.99113,0.14531,0.09848,0.74658,0.002773,0.002773,0.002773
75,21659.7,0.25654,0.17799,0.85095,0.99704,0.99861,0.99465,0.99107,0.14487,0.0982,0.74715,0.002674,0.002674,0.002674
76,21949.2,0.25752,0.17923,0.85188,0.99722,0.99895,0.99469,0.99125,0.14474,0.09805,0.7484,0.002575,0.002575,0.002575
77,22238.2,0.252,0.1737,0.85025,0.99768,0.99872,0.99473,0.99163,0.14005,0.0962,0.74737,0.002476,0.002476,0.002476
78,22527.6,0.25223,0.17442,0.84867,0.99794,0.99916,0.99469,0.99164,0.13832,0.09486,0.74678,0.002377,0.002377,0.002377
79,22817,0.24974,0.17177,0.84831,0.99777,0.99907,0.99471,0.99155,0.13886,0.09476,0.7461,0.002278,0.002278,0.002278
80,23106.4,0.25032,0.17287,0.84774,0.99818,0.99833,0.99474,0.99154,0.14002,0.09563,0.74509,0.002179,0.002179,0.002179
81,23395.8,0.24387,0.17046,0.8484,0.99804,0.9987,0.99479,0.9917,0.13802,0.09408,0.74476,0.00208,0.00208,0.00208
82,23685,0.24203,0.1663,0.84776,0.9982,0.99851,0.99481,0.99169,0.1368,0.09251,0.74453,0.001981,0.001981,0.001981
83,23974.2,0.24153,0.16656,0.84677,0.99846,0.99842,0.99481,0.99208,0.13455,0.09214,0.74358,0.001882,0.001882,0.001882
