epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,9876.54,0.42503,0.40493,0.28001,0.88677,0.99086,0.99195,0.99366,0.9662,0.9904,0.99141,0.99356,0.88377,0.28928,0.33935,0.19795,0.80201,0.0010892,0.0010892,0.0010892
48,10087.5,0.43108,0.40942,0.28098,0.88746,0.99181,0.99682,0.99402,0.97304,0.99145,0.99645,0.99401,0.8934,0.25309,0.304,0.17765,0.79173,0.0010694,0.0010694,0.0010694
49,10298.2,0.43252,0.41699,0.28365,0.88916,0.99525,0.99525,0.994,0.97169,0.99524,0.9945,0.99398,0.8936,0.26262,0.30604,0.17971,0.79432,0.0010496,0.0010496,0.0010496
50,10509.5,0.41791,0.39967,0.27375,0.88207,0.98652,0.98903,0.99263,0.96622,0.98615,0.98866,0.99261,0.89328,0.2821,0.3255,0.19539,0.79847,0.0010298,0.0010298,0.0010298
51,10720.7,0.41665,0.39891,0.27363,0.88035,0.99235,0.99506,0.99382,0.97492,0.99205,0.9947,0.99379,0.89499,0.24864,0.30629,0.17432,0.78656,0.00101,0.00101,0.00101
52,10931.4,0.40938,0.38897,0.27,0.8769,0.99125,0.9947,0.99314,0.9751,0.99124,0.99351,0.99308,0.90233,0.24914,0.30464,0.1733,0.78732,0.0009902,0.0009902,0.0009902
53,11142.3,0.39933,0.38425,0.26178,0.87602,0.99449,0.99305,0.99361,0.97791,0.99289,0.99269,0.99357,0.90285,0.23648,0.29297,0.16711,0.79228,0.0009704,0.0009704,0.0009704
54,11353.7,0.40339,0.38131,0.26437,0.88128,0.99578,0.99653,0.99443,0.97738,0.99575,0.99506,0.99416,0.89739,0.24105,0.30411,0.16617,0.79031,0.0009506,0.0009506,0.0009506
55,11564.6,0.40744,0.38506,0.2665,0.88642,0.99547,0.99543,0.99443,0.97898,0.9947,0.99506,0.99442,0.9023,0.23427,0.28961,0.16527,0.78978,0.0009308,0.0009308,0.0009308
56,11775.1,0.40095,0.37932,0.26421,0.87922,0.99471,0.99641,0.99433,0.9768,0.99434,0.99605,0.99432,0.89484,0.2365,0.29139,0.16563,0.79093,0.000911,0.000911,0.000911
57,11986.3,0.39898,0.38162,0.26065,0.87824,0.99429,0.99616,0.9936,0.97816,0.99411,0.99598,0.9936,0.90424,0.22977,0.27712,0.1626,0.78598,0.0008912,0.0008912,0.0008912
58,12197.9,0.39527,0.37768,0.25968,0.87903,0.99209,0.99781,0.99404,0.97984,0.99172,0.99744,0.99404,0.90217,0.2225,0.27709,0.15931,0.7857,0.0008714,0.0008714,0.0008714
59,12409.1,0.39162,0.37393,0.25995,0.88041,0.99525,0.99623,0.99396,0.97953,0.99525,0.99623,0.99396,0.91152,0.22498,0.27643,0.15834,0.78823,0.0008516,0.0008516,0.0008516
60,12620.3,0.38805,0.37553,0.2545,0.87759,0.9927,0.99426,0.99414,0.97987,0.99276,0.99397,0.99414,0.9062,0.22551,0.27162,0.15744,0.789,0.0008318,0.0008318,0.0008318
61,12831.2,0.38419,0.37471,0.25294,0.87524,0.98998,0.99391,0.99329,0.97954,0.98998,0.99402,0.99329,0.90648,0.21343,0.27296,0.15752,0.78651,0.000812,0.000812,0.000812
62,13042.4,0.37765,0.36952,0.24898,0.87397,0.99217,0.9967,0.9941,0.9818,0.99163,0.99615,0.99388,0.90848,0.21488,0.26857,0.15388,0.78641,0.0007922,0.0007922,0.0007922
63,13253.6,0.38285,0.37667,0.25155,0.87428,0.99449,0.99689,0.99412,0.98195,0.99431,0.99671,0.99411,0.90976,0.20786,0.2745,0.15043,0.77988,0.0007724,0.0007724,0.0007724
64,13465,0.37278,0.35624,0.24712,0.86792,0.99391,0.99762,0.99409,0.98345,0.99391,0.99762,0.99413,0.91114,0.20095,0.26064,0.14779,0.77428,0.0007526,0.0007526,0.0007526
65,13677.4,0.36805,0.36206,0.24235,0.8725,0.99179,0.99415,0.99405,0.98174,0.99161,0.9938,0.99405,0.91645,0.21413,0.2714,0.15187,0.78114,0.0007328,0.0007328,0.0007328
66,13887.8,0.36982,0.36078,0.24456,0.87031,0.99217,0.99677,0.99399,0.98326,0.99126,0.99592,0.99372,0.9109,0.20025,0.26052,0.14465,0.78082,0.000713,0.000713,0.000713
67,14096.9,0.36743,0.35631,0.24367,0.87272,0.99161,0.99402,0.99336,0.97837,0.99197,0.99438,0.99338,0.90472,0.22025,0.27383,0.15789,0.78714,0.0006932,0.0006932,0.0006932
68,14306.2,0.36335,0.35038,0.24192,0.87114,0.9921,0.99707,0.99374,0.98219,0.99109,0.99644,0.99343,0.9113,0.20058,0.26082,0.14629,0.7792,0.0006734,0.0006734,0.0006734
69,14516.2,0.36876,0.35369,0.24296,0.87163,0.99366,0.99707,0.99414,0.98122,0.99358,0.99634,0.99391,0.91123,0.21263,0.26968,0.14701,0.77452,0.0006536,0.0006536,0.0006536
