epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,12437.2,0.55691,1.23414,0.3739,0.84493,0.95533,0.9648,0.98643,0.82464,0.9165,0.84717,0.88272,0.51369,0.75658,0.99777,0.40348,0.72711,0.0009704,0.0009704,0.0009704
54,12675.3,0.56223,1.20416,0.37364,0.84765,0.9562,0.96518,0.98506,0.83194,0.91706,0.85605,0.88654,0.50395,0.74196,0.97249,0.41126,0.7283,0.0009506,0.0009506,0.0009506
55,12914.1,0.55864,1.20491,0.36901,0.8453,0.96052,0.96083,0.98783,0.81774,0.93692,0.85337,0.90414,0.5454,0.80153,0.97806,0.41372,0.72697,0.0009308,0.0009308,0.0009308
56,13152.7,0.55099,1.18733,0.36493,0.84993,0.95902,0.96503,0.98701,0.83497,0.92792,0.84901,0.89269,0.52213,0.74697,0.97911,0.40196,0.7262,0.000911,0.000911,0.000911
57,13380.6,0.55356,1.20073,0.36814,0.84628,0.95386,0.97046,0.98613,0.84249,0.92452,0.85069,0.8979,0.52823,0.723,0.98154,0.40166,0.72583,0.0008912,0.0008912,0.0008912
58,13608.4,0.55075,1.18572,0.36475,0.84215,0.95692,0.96724,0.98664,0.84028,0.93244,0.85236,0.89824,0.51977,0.72472,0.96282,0.39586,0.72171,0.0008714,0.0008714,0.0008714
59,13838.7,0.54918,1.17217,0.36509,0.84429,0.95804,0.96969,0.98792,0.8362,0.92395,0.85263,0.89549,0.53222,0.74835,0.97139,0.40318,0.72168,0.0008516,0.0008516,0.0008516
60,14073.8,0.53969,1.19194,0.35568,0.84409,0.95543,0.96748,0.98604,0.84322,0.92588,0.84503,0.89141,0.52014,0.71891,0.97314,0.3917,0.72408,0.0008318,0.0008318,0.0008318
61,14306.5,0.54252,1.19307,0.35534,0.84253,0.95619,0.96036,0.98541,0.82653,0.91839,0.84197,0.88427,0.50841,0.74759,0.9851,0.41289,0.72851,0.000812,0.000812,0.000812
62,14536,0.52997,1.16801,0.35118,0.84133,0.95695,0.97038,0.98736,0.84086,0.91822,0.85681,0.89659,0.52941,0.72458,0.96502,0.38968,0.72192,0.0007922,0.0007922,0.0007922
63,14765.1,0.52999,1.15314,0.34681,0.83837,0.96018,0.97241,0.98819,0.83687,0.93048,0.8474,0.89188,0.52637,0.72736,0.93464,0.38472,0.72016,0.0007724,0.0007724,0.0007724
64,14995.4,0.52818,1.19027,0.35087,0.83761,0.96125,0.96878,0.98891,0.84439,0.93585,0.85368,0.89961,0.52456,0.71649,0.96564,0.38832,0.7236,0.0007526,0.0007526,0.0007526
65,15227.1,0.52586,1.17485,0.34796,0.83713,0.96256,0.97092,0.98849,0.854,0.93092,0.8467,0.89138,0.51639,0.69105,0.93364,0.37861,0.72056,0.0007328,0.0007328,0.0007328
66,15460,0.52008,1.16482,0.34423,0.83808,0.96905,0.97056,0.99047,0.85513,0.93617,0.84702,0.89482,0.52787,0.69296,0.92453,0.37621,0.72192,0.000713,0.000713,0.000713
67,15688.7,0.52074,1.16772,0.34409,0.83759,0.95865,0.97214,0.98843,0.84501,0.92923,0.85108,0.89355,0.51838,0.69143,0.9449,0.37873,0.721,0.0006932,0.0006932,0.0006932
68,15920.6,0.52369,1.1665,0.34927,0.83676,0.95557,0.96936,0.98762,0.84156,0.93111,0.85039,0.89316,0.5266,0.72488,0.9425,0.38897,0.72007,0.0006734,0.0006734,0.0006734
69,16152.4,0.52807,1.14323,0.34947,0.83847,0.961,0.97106,0.98878,0.85023,0.93472,0.85123,0.89447,0.52442,0.69838,0.92282,0.38237,0.71836,0.0006536,0.0006536,0.0006536
70,16384.7,0.51755,1.15139,0.33678,0.83489,0.96138,0.97299,0.98936,0.85326,0.9321,0.85406,0.89744,0.52922,0.6903,0.93823,0.37304,0.71785,0.0006338,0.0006338,0.0006338
